FECHA;HORA;ESTACION;VIA;DISPOSITIVOT;DISPOSITIVON;DOMINIO;CATEGORIA;TARIFA;BONIFICACION;TIPO_DE_DOCUMENTO;DOCUMENTO_LEGAL;DOCUMENTO_SA;CLIENTE_WEB;CLIENTE_RED;SUB_CUENTA
2026-06-24;130351;0001;25;SI90;97196290;AD255OC;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;131915;0001;25;SI90;99909190;AG822HO;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;221250;0001;25;SI90;94866586;AD328WK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;14259;0001;25;SI90;94797663;AE469PL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;125144;0001;25;SI90;92079954;AF993HK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;165743;0001;25;SI90;94920955;AE908YL;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;22629;0001;25;SI90;90836134;AD933WS;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;22647;0001;25;SI90;61276153;AH800QR;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;121846;0001;25;SI90;99598699;AF734UP;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;153626;0001;25;SI90;94931038;AE952TH;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;220901;0001;25;SI90;94959737;AF091AI;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-27;81541;0001;25;SI90;99567025;AE284KH;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;211811;0001;25;SI90;99779063;AG533MF;2;4707.32;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;160551;0001;25;SI90;94891934;AE751PA;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;220856;0001;25;SI90;90836134;AD933WS;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-30;220915;0001;25;SI90;61276153;AH800QR;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;141246;0001;26;SI90;99909190;AG822HO;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;130805;0001;26;SI90;94904121;AD667DM;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-18;144635;0001;26;SI90;93423682;AH033DL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-19;65816;0001;26;SI90;93458913;AH251LE;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;165112;0001;26;SI90;99561570;AF509QF;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-20;174017;0001;26;SI90;94866586;AD328WK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-21;70326;0001;26;SI90;99909190;AG822HO;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-21;131124;0001;26;SI90;92079954;AF993HK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;2241;0001;26;SI90;94904121;AD667DM;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;20634;0001;26;SI90;94530188;AD736OU;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;121456;0001;26;SI90;98702170;AD625QB;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-22;170858;0001;26;SI90;94920955;AE908YL;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-23;173555;0001;26;SI90;93423682;AH033DL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;130715;0001;26;SI90;97134694;AH272KN;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-24;160540;0001;26;SI90;99540243;AF389UV;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;21754;0001;26;SI90;97371592;AG110LK;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;83838;0001;26;SI90;94911721;AE831SI;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;103653;0001;26;SI90;97162615;AH554RQ;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;132910;0001;26;SI90;97010413;AE469PH;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-25;172331;0001;26;SI90;94904121;AD667DM;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-26;122045;0001;26;SI90;99561570;AF509QF;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-27;125310;0001;26;SI90;94579785;AD482MT;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-27;191532;0001;26;SI90;94797663;AE469PL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-27;201255;0001;26;SI90;93423682;AH033DL;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;13114;0001;26;SI90;97371592;AG110LK;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;130006;0001;26;SI90;99909190;AG822HO;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;192158;0001;26;SI90;97191590;AH351RS;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;53448;0001;27;SI90;97191590;AH351RS;6;18829.29;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-16;184440;0001;27;SI90;99561570;AF509QF;7;42365.91;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-17;195232;0001;27;SI90;97047074;AG939HR;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;132324;0001;27;SI90;97162615;AH554RQ;7;23536.62;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-28;183209;0001;27;SI90;94911721;AE831SI;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
2026-06-29;130607;0001;27;SI90;97190264;AH554RP;7;28243.94;0.00;0;30708488891;30708488891;560773;560773;1
